Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Exposure,Turbidity,Cyclone_Frequency,Date_Month,Date_Year,Percent_Bleaching,Temperature_Mean,Windspeed,SSTA,SSTA_DHW,TSA,TSA_DHWMean,Date,Bleaching_Severity_Int,Thermal_Stress_Index,Bleaching_Impact,Wind_Mitigation,Bleaching_Duration_weeks
712,-18.1732,146.1528,Pacific,Central and northern Great Barrier Reef,Sheltered,0.225,41.66,4,1998,5.5,299.59,5.0,1.17,9.8,-1.6,0.66,15-04-1998,1.0,0.4911333781161352,0.1964533512464541,0.6,2
714,-18.0248,146.1651,Pacific,Central and northern Great Barrier Reef,Sheltered,0.194,42.11,4,1998,5.5,299.4,5.0,0.73,5.24,-1.86,0.48,15-04-1998,1.0,0.44381213613972115,0.17752485445588848,0.6,2
715,-18.0167,146.7833,Pacific,Central and northern Great Barrier Reef,Sometimes,0.0569,38.97,4,1998,5.5,299.39,5.0,0.7,2.27,-1.32,0.29,15-04-1998,1.0,0.425574246156142,0.1702296984624568,0.6,2
717,-17.9781,146.1349,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1379,42.58,4,1998,5.5,299.42,5.0,0.52,5.06,-2.12,0.6,15-04-1998,1.0,0.43620484400656884,0.17448193760262753,0.6,2
718,-17.7915,146.5171,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0801,41.03,4,1998,5.5,299.35,5.0,1.01,7.85,-1.02,0.58,15-04-1998,1.0,0.46665481788326735,0.18666192715330696,0.6,2
719,-17.7511,146.1526,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1626,43.0,4,1998,5.5,299.39,5.0,0.36,8.77,-2.2,0.46,15-04-1998,1.0,0.4507819264069256,0.18031277056277026,0.6,2
725,-16.7012,146.0509,Pacific,Central and northern Great Barrier Reef,Sheltered,0.066,50.53,4,1998,5.5,299.53,5.0,1.5,5.41,-0.98,0.54,15-04-1998,1.0,0.47559906329302726,0.19023962531721092,0.6,2
726,-16.6745,145.939,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0678,50.53,4,1998,5.5,299.48,5.0,0.92,5.41,-1.46,0.53,15-04-1998,1.0,0.45395702716823483,0.18158281086729394,0.6,2
727,-16.3,145.683,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0872,59.22,4,1998,5.5,299.53,5.0,1.35,3.88,-1,0.51,15-04-1998,1.0,0.461733467681742,0.1846933870726968,0.6,2
729,-15.4142,145.4304,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0643,40.4,4,1998,5.5,299.4,5.0,0.66,2.33,-1.93,0.4,15-04-1998,1.0,0.424864252127182,0.1699457008508728,0.6,2
